preprocessed_text,tagged_relations
use a 2 phillips screwdriver to remove the four screw .,"remove/HAS_AGENT/2 phillips screwdriver, remove/HAS_PATIENT/screw, "
remove the rubber gasket from the rain tray .,"remove/HAS_PATIENT/rubber gasket, remove/HAS_PARTICIPANT/rain tray, "
lift the tray upwards and away from the vehicle .,"lift/HAS_PATIENT/tray, "
use a flathead screwdriver to remove the cap from the windshield wiper .,"remove/HAS_AGENT/flathead screwdriver, remove/HAS_PATIENT/cap, remove/HAS_PARTICIPANT/windshield wiper, "
use a socket wrench to release the passenger-side windshield wiper locking nut .,"release/HAS_AGENT/socket wrench, release/HAS_PATIENT/locking nut, release/HAS_PARTICIPANT/windshield wiper, "
gently lift up the passenger-side windshield wiper .,"lift/HAS_PATIENT/windshield wiper, "
remove the driver-side windshield wiper in the same fashion .,
lift up the plastic cover .,"lift/HAS_PATIENT/plastic cover, "
use an offset phillips screwdriver to remove a screw in the back of the automatic control unit cover .,"remove/HAS_AGENT/offset phillips screwdriver, remove/HAS_PATIENT/screw, "
"in a pinch , you can make this tool with a phillips driver bit and end wrench .","make/HAS_AGENT/phillips driver bit, make/HAS_PARTICIPANT/end wrench, make/HAS_PATIENT/tool, "
use a 2 phillips screwdriver to remove the front two screw .,"remove/HAS_AGENT/2 phillips screwdriver, remove/HAS_PATIENT/screw, "
gently unplug and lift out the automatic transmission control unit .,"unplug/HAS_PATIENT/automatic transmission control unit, lift/HAS_PATIENT/automatic transmission control unit, "
remove the plastic phillips screw towards the front of the door panel .,"remove/HAS_PATIENT/plastic phillips screw, "
"this screw is part of a two-piece securing mechanism . do not apply force directly onto the screw head , because it will continue to slip into the plastic clip .","this screw/HAS_PARTICIPANT/two-piece securing mechanism, two-piece securing mechanism/HAS_PARTICIPANT/this screw, "
use a flathead screwdriver to remove the plastic clip that hold the screw .,"remove/HAS_AGENT/flathead screwdriver, remove/HAS_PATIENT/plastic clip, remove/HAS_PARTICIPANT/screw, "
unscrew the phillips screw in the bottom of the door panel cup .,"unscrew/HAS_PATIENT/phillips screw, unscrew/HAS_PARTICIPANT/door panel cup, "
lift the cup out of the the door panel .,"lift/HAS_PATIENT/cup, "
insert a very thin flathead screwdriver blade into the small gap towards the rear of the car on the plastic screw cover near the door handle .,"insert/HAS_AGENT/flathead screwdriver blade, insert/HAS_PATIENT/plastic screw cover, insert/HAS_PARTICIPANT/door handle, "
unscrew the phillips screw underneath the screw cover .,"unscrew/HAS_PATIENT/phillips screw, "
remove the plastic cover at the base of the c-pillar by pulling it directly away from the window .,"remove/HAS_PATIENT/plastic cover, remove/HAS_PATIENT/c-pillar, pulling it directly away from the window/HAS_PATIENT/plastic cover, "
"the cover is held in place by a metal clip , so some force will be required to free it .","free/HAS_AGENT/force, "
"in addition to the metal clip , two small tab at the bottom of the cover keep it in place . gently lift the corner of the door panel to remove the tab from their respective hole in the door .","remove/HAS_PATIENT/tab, remove/HAS_PARTICIPANT/door, "
"using firm pressure , pull the door panel away from the door . start at the top right , and work down the side , across the bottom , and up the opposite side .","pull/HAS_PATIENT/door, pull/HAS_PATIENT/panel, work down the side/HAS_PATIENT/door, work down the side/HAS_PATIENT/panel, "
multiple clip hold the door panel in place . the door panel will jerk a each clip is freed from it position .,"hold/HAS_PATIENT/door panel, hold/HAS_PARTICIPANT/multiple clip, jerk/HAS_PATIENT/door panel, jerk/HAS_PARTICIPANT/multiple clip, "
"pull the bottom of the door panel away from the door , and lift the entire panel off the door .","pull/HAS_PATIENT/door, pull/HAS_PATIENT/panel, lift/HAS_PATIENT/panel, lift/HAS_PARTICIPANT/door, "
"do not try to completely remove the door panel yet , a it is still attached by a number of electrical connector .",
push down on the small tab and pull the connector directly away from it socket to disconnect the power lock switch .,"push down/HAS_PATIENT/tab, pull/HAS_PATIENT/connector, disconnect/HAS_PATIENT/power lock switch, "
use the same method described above to remove the connector for the tweeter .,"remove/HAS_AGENT/use, remove/HAS_PATIENT/connector, remove/HAS_PARTICIPANT/tweeter, "
press the tab on the bottom of the larger green connector to disconnect the side-view mirror control .,"press/HAS_PATIENT/tab, disconnect/HAS_PATIENT/larger green connector, disconnect/HAS_PATIENT/side-view mirror control, "
disconnect the power window connector .,"disconnect/HAS_PATIENT/power window, disconnect/HAS_PATIENT/connector, "
you may now remove the entire door panel .,"remove/HAS_PATIENT/door panel, "
use compressed air to clear any debris from the area around the ignition coil on top of the engine .,"clear/HAS_AGENT/compressed air, clear/HAS_PARTICIPANT/debris, "
remove the ignition coil electrical connector by first depressing the plastic tab on top of the connector .,"remove/HAS_PATIENT/ignition coil, remove/HAS_PATIENT/electrical connector, depressing/HAS_PATIENT/plastic tab, "
pull the connector straight away from the ignition coil to detach it .,"pull/HAS_PATIENT/connector, detach/HAS_PATIENT/connector, "
repeat this procedure for the remaining three ignition coil .,"repeat this procedure/HAS_PATIENT/ignition coil, "
use an 8 mm deep socket to loosen the four ignition coil mounting bolt .,"use/HAS_AGENT/8 mm deep socket, loosen/HAS_PATIENT/ignition coil, loosen/HAS_PARTICIPANT/mounting bolt, "
"once the bolt are loose , they can be removed by hand .","remove/HAS_PATIENT/bolt, remove/HAS_AGENT/by hand, "
twist the ignition coil and spark plug boot while lifting it straight up to remove it from the engine .,"twist/HAS_AGENT/ignition coil, twist/HAS_AGENT/spark plug boot, lifting/HAS_PATIENT/ignition coil, lifting/HAS_PATIENT/spark plug boot, remove/HAS_PATIENT/ignition coil, remove/HAS_PATIENT/spark plug boot, remove/HAS_PATIENT/engine, "
"avoid rocking the coil and boot side-to-side , since this could break the existing spark plug .","break/HAS_PATIENT/spark plug, "
use a ratcheting socket wrench with an extender and a 5  or 8 spark plug socket to remove the existing spark plug from the cylinder head . make sure that the spark plug is completely seated in the rubber end of the socket before loosening it .,"remove/HAS_AGENT/ratcheting socket wrench, remove/HAS_AGENT/extender, remove/HAS_AGENT/5 or 8 spark plug socket, remove/HAS_PATIENT/spark plug, remove/HAS_PATIENT/cylinder head, make sure/HAS_PARTICIPANT/spark plug, make sure/HAS_PARTICIPANT/rubber end, make sure/HAS_PARTICIPANT/socket, "
apply dielectric grease to the ribbed portion of the insulator .,"apply/HAS_PATIENT/ribbed portion, apply/HAS_PARTICIPANT/insulator, "
gently place the spark plug boot over the rib and twist the two piece back and forth to even out the layer of dielectric grease .,"place/HAS_PATIENT/spark plug boot, place/HAS_PARTICIPANT/rib, twist/HAS_PATIENT/two piece, even out/HAS_PARTICIPANT/layer, "
place the new spark plug firmly in the spark plug socket so that the threaded end stick out .,"place/HAS_PATIENT/spark plug, place/HAS_AGENT/spark plug socket, place/HAS_PARTICIPANT/threaded end, "
