preprocessed_text,tagged_text
use a 2 phillips screwdriver to remove the four screw .,"2 phillips screwdriver/TOOL, remove/ACTIVITY, four/CARDINALITY, screw/ITEM, "
remove the rubber gasket from the rain tray .,"remove/ACTIVITY, rubber gasket/ITEM, rain tray/ITEM, "
lift the tray upwards and away from the vehicle .,"lift/ACTIVITY, tray/ITEM, upwards/NOISE, away from the vehicle/LOCATION, "
use a flathead screwdriver to remove the cap from the windshield wiper .,"flathead screwdriver/TOOL, remove/ACTIVITY, cap/ITEM, windshield wiper/ITEM, "
use a socket wrench to release the passenger-side windshield wiper locking nut .,"socket wrench/TOOL, release/ACTIVITY, passenger-side/LOCATION, windshield wiper locking nut/ITEM, "
gently lift up the passenger-side windshield wiper .,"gently/NOISE, lift/ACTIVITY, passenger-side/LOCATION, windshield wiper/ITEM, "
remove the driver-side windshield wiper in the same fashion .,"remove/ACTIVITY, driver-side/LOCATION, windshield wiper/ITEM, in the same fashion/NOISE, "
lift up the plastic cover .,"lift/ACTIVITY, plastic cover/ITEM, "
use an offset phillips screwdriver to remove a screw in the back of the automatic control unit cover .,"offset phillips screwdriver/TOOL, remove/ACTIVITY, a/CARDINALITY, screw/ITEM, back of the automatic control unit cover/LOCATION, "
"in a pinch , you can make this tool with a phillips driver bit and end wrench .","make/ACTIVITY, tool/ITEM, phillips driver bit/TOOL, end wrench/TOOL, "
use a 2 phillips screwdriver to remove the front two screw .,"2 phillips screwdriver/TOOL, remove/ACTIVITY, front/LOCATION, two/CARDINALITY, screw/ITEM, "
gently unplug and lift out the automatic transmission control unit .,"gently/NOISE, unplug/ACTIVITY, lift/ACTIVITY, automatic transmission control unit/ITEM, "
remove the plastic phillips screw towards the front of the door panel .,"remove/ACTIVITY, plastic phillips screw/ITEM, front of the door panel/LOCATION, "
"this screw is part of a two-piece securing mechanism . do not apply force directly onto the screw head , because it will continue to slip into the plastic clip .","screw/ITEM, two-piece securing mechanism/OBSERVATION, do not apply force directly onto the screw head/NOISE, slip into the plastic clip/OBSERVATION, "
use a flathead screwdriver to remove the plastic clip that hold the screw .,"flathead screwdriver/TOOL, remove/ACTIVITY, plastic clip/ITEM, hold/OBSERVATION, screw/ITEM, "
unscrew the phillips screw in the bottom of the door panel cup .,"unscrew/ACTIVITY, phillips screw/ITEM, bottom of the door panel cup/LOCATION, "
lift the cup out of the the door panel .,"lift/ACTIVITY, cup/ITEM, door panel/ITEM, "
insert a very thin flathead screwdriver blade into the small gap towards the rear of the car on the plastic screw cover near the door handle .,"insert/ACTIVITY, thin flathead screwdriver blade/TOOL, small gap/LOCATION, rear of the car/LOCATION, plastic screw cover/ITEM, door handle/ITEM, "
unscrew the phillips screw underneath the screw cover .,"unscrew/ACTIVITY, phillips screw/ITEM, underneath the screw cover/LOCATION, "
remove the plastic cover at the base of the c-pillar by pulling it directly away from the window .,"remove/ACTIVITY, plastic cover/ITEM, base of the c-pillar/LOCATION, pulling/ACTIVITY, directly away from the window/LOCATION, "
"the cover is held in place by a metal clip , so some force will be required to free it .","cover/ITEM, held in place/OBSERVATION, metal clip/ITEM, force/ACTIVITY, required/OBSERVATION, free/ACTIVITY, "
"in addition to the metal clip , two small tab at the bottom of the cover keep it in place . gently lift the corner of the door panel to remove the tab from their respective hole in the door .","metal clip/ITEM, two small tab/ITEM, bottom of the cover/LOCATION, gently lift/ACTIVITY, corner of the door panel/LOCATION, remove/ACTIVITY, tab/ITEM, their respective hole in the door/LOCATION, "
"using firm pressure , pull the door panel away from the door . start at the top right , and work down the side , across the bottom , and up the opposite side .","using firm pressure/NOISE, pull/ACTIVITY, door panel/ITEM, away from the door/LOCATION, start at the top right/LOCATION, work down the side/LOCATION, across the bottom/LOCATION, up the opposite side/LOCATION, "
multiple clip hold the door panel in place . the door panel will jerk a each clip is freed from it position .,"multiple clip/ITEM, hold/ACTIVITY, door panel/ITEM, jerk/OBSERVATION, clip/ITEM, freed/OBSERVATION, position/LOCATION, "
"pull the bottom of the door panel away from the door , and lift the entire panel off the door .","pull/ACTIVITY, bottom of the door panel/LOCATION, away from the door/LOCATION, lift/ACTIVITY, entire panel/ITEM, off the door/LOCATION, "
"do not try to completely remove the door panel yet , a it is still attached by a number of electrical connector .","do not try to completely remove the door panel yet/NOISE, attached/OBSERVATION, electrical connector/ITEM, number/CARDINALITY, "
push down on the small tab and pull the connector directly away from it socket to disconnect the power lock switch .,"push down/ACTIVITY, small tab/ITEM, pull/ACTIVITY, connector/ITEM, away from it socket/LOCATION, disconnect/ACTIVITY, power lock switch/ITEM, "
use the same method described above to remove the connector for the tweeter .,"remove/ACTIVITY, connector/ITEM, tweeter/ITEM, "
press the tab on the bottom of the larger green connector to disconnect the side-view mirror control .,"press/ACTIVITY, tab/ITEM, bottom/LOCATION, larger green connector/ITEM, disconnect/ACTIVITY, side-view mirror control/ITEM, "
disconnect the power window connector .,"disconnect/ACTIVITY, power window connector/ITEM, "
you may now remove the entire door panel .,"remove/ACTIVITY, entire door panel/ITEM, "
use compressed air to clear any debris from the area around the ignition coil on top of the engine .,"use/ACTIVITY, compressed air/TOOL, clear/ACTIVITY, debris/ITEM, area around the ignition coil/LOCATION, top of the engine/LOCATION, "
remove the ignition coil electrical connector by first depressing the plastic tab on top of the connector .,"remove/ACTIVITY, ignition coil electrical connector/ITEM, depressing/ACTIVITY, plastic tab/ITEM, top of the connector/LOCATION, "
pull the connector straight away from the ignition coil to detach it .,"pull/ACTIVITY, connector/ITEM, straight away from the ignition coil/LOCATION, detach/ACTIVITY, "
repeat this procedure for the remaining three ignition coil .,"repeat this procedure/ACTIVITY, remaining three/CARDINALITY, ignition coil/ITEM, "
use an 8 mm deep socket to loosen the four ignition coil mounting bolt .,"8 mm deep socket/TOOL, loosen/ACTIVITY, four/CARDINALITY, ignition coil/ITEM, mounting bolt/ITEM, "
"once the bolt are loose , they can be removed by hand .","bolt/ITEM, loose/OBSERVATION, remove/ACTIVITY, by hand/NOISE, "
twist the ignition coil and spark plug boot while lifting it straight up to remove it from the engine .,"twist/ACTIVITY, ignition coil/ITEM, spark plug boot/ITEM, lifting/ACTIVITY, remove/ACTIVITY, engine/ITEM, "
"avoid rocking the coil and boot side-to-side , since this could break the existing spark plug .","avoid rocking/ACTIVITY, coil/ITEM, boot/ITEM, side-to-side/NOISE, break/OBSERVATION, existing spark plug/ITEM, "
use a ratcheting socket wrench with an extender and a 5  or 8 spark plug socket to remove the existing spark plug from the cylinder head . make sure that the spark plug is completely seated in the rubber end of the socket before loosening it .,"ratcheting socket wrench/TOOL, extender/TOOL, 5 or 8 spark plug socket/TOOL, remove/ACTIVITY, existing spark plug/ITEM, cylinder head/ITEM, make sure/ACTIVITY, completely seated/OBSERVATION, rubber end/ITEM, loosening/ACTIVITY, "
apply dielectric grease to the ribbed portion of the insulator .,"apply/ACTIVITY, dielectric grease/MATERIAL, ribbed portion/ITEM, insulator/ITEM, "
gently place the spark plug boot over the rib and twist the two piece back and forth to even out the layer of dielectric grease .,"gently/NOISE, place/ACTIVITY, spark plug boot/ITEM, rib/ITEM, twist/ACTIVITY, two piece/ITEM, even out/ACTIVITY, layer/ITEM, dielectric grease/MATERIAL, "
place the new spark plug firmly in the spark plug socket so that the threaded end stick out .,"place/ACTIVITY, new spark plug/ITEM, spark plug socket/ITEM, firmly/NOISE, threaded end/OBSERVATION, stick out/OBSERVATION, "
apply an even layer of anti-seize compound to the thread of the spark plug .,"apply/ACTIVITY, even layer/OBSERVATION, anti-seize compound/MATERIAL, thread/ITEM, spark plug/ITEM, "
place the new spark plug into the cylinder head and tighten it by hand a much a you can .,"place/ACTIVITY, new spark plug/ITEM, cylinder head/ITEM, tighten/ACTIVITY, by hand/NOISE, as much as you can/NOISE, "
tighten the spark plug to 11 ft-lbs with a torque wrench .,"tighten/ACTIVITY, spark plug/ITEM, 11 ft-lbs/OBSERVATION, torque wrench/TOOL, "
place the ignition coil and dust boot back over the spark plug by pushing down and twisting it into place .,"place/ACTIVITY, ignition coil/ITEM, dust boot/ITEM, back over the spark plug/LOCATION, pushing down/ACTIVITY, twisting/ACTIVITY, into place/LOCATION, "
reconnect the ignition coil electrical connector by snapping it back into place .,"reconnect/ACTIVITY, ignition coil/ITEM, electrical connector/ITEM, snapping it back into place/ACTIVITY, "
pull the hood release latch at the front right of the tractor and lift the hood up .,"pull/ACTIVITY, hood release latch/ITEM, front right/LOCATION, lift/ACTIVITY, hood/ITEM, "
lift the hood prop bar from it seat and place it in the hook on the underside of the hood .,"lift/ACTIVITY, hood prop bar/ITEM, from it seat/LOCATION, place/ACTIVITY, hook/ITEM, underside of the hood/LOCATION, "
pull each tab straight away from the panel and twist them 90 so that they fit through the slot in the panel .,"pull/ACTIVITY, each tab/ITEM, straight away from the panel/LOCATION, twist/ACTIVITY, 90/OBSERVATION, fit through the slot in the panel/LOCATION, "
pull the top of the engine panel straight out until it is free from the tab .,"pull/ACTIVITY, top of the engine panel/ITEM, straight out/LOCATION, free from the tab/OBSERVATION, "
lift the engine panel up to remove it and set it aside .,"lift/ACTIVITY, engine panel/ITEM, remove/ACTIVITY, set it aside/LOCATION, "
the drain plug is a 17 mm hex bolt located on the underside of the tractor .,"drain plug/ITEM, 17 mm hex bolt/ITEM, located/OBSERVATION, underside of the tractor/LOCATION, "
place an oil drain pan underneath the drain plug to catch the oil when it begin to drain .,"place/ACTIVITY, oil drain pan/ITEM, underneath the drain plug/LOCATION, catch/ACTIVITY, oil/MATERIAL, begin to drain/OBSERVATION, "
use a 17 mm box end wrench to loosen the drain plug 3  or 4 of a turn .,"17 mm box end wrench/TOOL, loosen/ACTIVITY, drain plug/ITEM, 3 or 4 of a turn/OBSERVATION, "
loosen the drain plug by hand until it come out and oil begin to drain from the oil pan .,"loosen/ACTIVITY, drain plug/ITEM, by hand/NOISE, come out/OBSERVATION, oil/MATERIAL, begin to drain/OBSERVATION, oil pan/ITEM, "
"while the oil is draining , wipe off the drain plug with a clean rag or towel .","oil/MATERIAL, draining/ACTIVITY, wipe off/ACTIVITY, drain plug/ITEM, clean rag/MATERIAL, towel/MATERIAL, "
