task_id,procedure_id,raw_text,parent_process_id,after_task_id
Task_14461,Proc_2965,Use a #2 Phillips screwdriver to remove the four screws.,Proc_2965,
Task_14462,Proc_2965,Remove the rubber gasket from the rain tray.,Proc_2965,Task_14461
Task_14463,Proc_2965,Lift the tray upwards and away from the vehicle.,Proc_2965,Task_14462
Task_14475,Proc_2965,Use a flathead screwdriver to remove the cap from the windshield wiper.,Proc_2965,Task_14463
Task_14476,Proc_2965,Use a socket wrench to release the passenger-side windshield wiper locking nut.,Proc_2965,Task_14475
Task_14477,Proc_2965,Gently lift up the passenger-side windshield wiper.,Proc_2965,Task_14476
Task_14478,Proc_2965,Remove the driver-side windshield wiper in the same fashion.,Proc_2965,Task_14477
Task_14479,Proc_2965,Lift up the plastic cover.,Proc_2965,Task_14478
Task_14481,Proc_2965,"Use an offset Phillips screwdriver to remove a screw in the back of the automatic control unit cover. In a pinch, you can make this tool with a phillips driver bit and end wrench.",Proc_2965,Task_14479
Task_14482,Proc_2965,Use a #2 Phillips screwdriver to remove the front two screws.,Proc_2965,Task_14481
Task_14483,Proc_2965,Gently unplug and lift out the automatic transmission control unit.,Proc_2965,Task_14482
Task_16999,Proc_3544,"Remove the plastic Phillips screw towards the front of the door panel. This screw is part of a two-piece securing mechanism. Do not apply force directly onto the screw head, because it will continue to slip into the plastic clip. Use a flathead screwdriver to remove the plastic clip that holds the screw.",Proc_3544,
Task_17000,Proc_3544,Unscrew the Phillips screw in the bottom of the door panel cup. Lift the cup out of the the door panel.,Proc_3544,Task_16999
Task_17001,Proc_3544,Insert a very thin flathead screwdriver blade into the small gap towards the rear of the car on the plastic screw cover near the door handle. Unscrew the Phillips screw underneath the screw cover.,Proc_3544,Task_17000
Task_17002,Proc_3544,"Remove the plastic cover at the base of the C-pillar by pulling it directly away from the window. The cover is held in place by a metal clip, so some force will be required to free it. In addition to the metal clip, two small tabs at the bottom of the cover keep it in place. Gently lift the corner of the door panel to remove the tabs from their respective holes in the door.",Proc_3544,Task_17001
Task_17003,Proc_3544,"Using firm pressure, pull the door panel away from the door. Start at the top right, and work down the side, across the bottom, and up the opposite side. Multiple clips hold the door panel in place. the door panel will jerk as each clip is freed from its position.",Proc_3544,Task_17002
Task_17004,Proc_3544,"Pull the bottom of the door panel away from the door, and lift the entire panel off the door. Do not try to completely remove the door panel yet, as it is still attached by a number of electrical connectors.",Proc_3544,Task_17003
Task_17005,Proc_3544,Push down on the small tab and pull the connector directly away from its socket to disconnect the power lock switch. Use the same method described above to remove the connector for the tweeter. Press the tab on the bottom of the larger green connector to disconnect the side-view mirror controls.,Proc_3544,Task_17004
Task_17006,Proc_3544,Disconnect the power window connector. You may now remove the entire door panel.,Proc_3544,Task_17005
Task_23031,Proc_5124,Use compressed air to clear any debris from the area around the ignition coils on top of the engine. Any particles that fall into the ignition cylinder could cause serious engine damage.,Proc_5124,
Task_23032,Proc_5124,Remove the ignition coil electrical connector by first depressing the plastic tab on top of the connector. Pull the connector straight away from the ignition coil to detach it. Repeat this procedure for the remaining three ignition coils.,Proc_5124,Task_23031
Task_23033,Proc_5124,"Use an 8 mm deep socket to loosen the four ignition coil mounting bolts. Once the bolts are loose, they can be removed by hand.",Proc_5124,Task_23032
Task_23034,Proc_5124,"Twist the ignition coil and spark plug boot while lifting it straight up to remove it from the engine. Avoid rocking the coil and boot side-to-side, since this could break the existing spark plug. The procedure to remove the ignition coil and spark plug boot is the same for each spark plug. However, to reduce the chance of dirt entering the engine, only remove one at a time.",Proc_5124,Task_23033
