tool_id,procedure_id,tool_name
Tool_0,2965,phillips 2 screwdriver
Tool_1,2965,flathead screwdriver
Tool_2,2965,socket wrench
Tool_3,2965,offset screwdriver
Tool_0,Task_14461,phillips 2 screwdriver
Tool_1,Task_14475,flathead screwdriver
Tool_2,Task_14476,socket wrench
ToolTask_14481,Task_14481,screwdriver
Tool_2,Task_14481,socket wrench
Tool_0,Task_14482,phillips 2 screwdriver
Tool_0,3544,flathead screwdriver
Tool_1,3544,phillips 2 screwdriver
Tool_2,3544,2.5mm flathead screwdriver
Tool_1,Task_16999,flathead screwdriver
Tool_0,Task_16999,phillips 2 screwdriver
Tool_0,Task_17000,phillips 2 screwdriver
Tool_1,Task_17001,flathead screwdriver
Tool_0,Task_17001,phillips 2 screwdriver
Tool_0,5124,1 2 ratchet extension
Tool_1,5124,1 2 socket wrench
Tool_2,5124,5 8 spark plug socket
Tool_3,5124,8 mm deep socket
Tool_4,5124,anti-seize lubricant
Tool_5,5124,compressed air
Tool_6,5124,dielectric grease
Tool_7,5124,torque wrench
Tool_5,Task_23031,compressed air
Tool_3,Task_23033,8 mm deep socket
Tool_2,Task_23034,5 8 spark plug socket
Tool_2,Task_23035,5 8 spark plug socket
Tool_6,Task_23036,dielectric grease
Tool_2,Task_23037,5 8 spark plug socket
Tool_2,Task_23038,5 8 spark plug socket
Tool_7,Task_23038,torque wrench
Tool_2,Task_23039,5 8 spark plug socket
Tool_0,6471,17 mm box end wrench
Tool_1,6471,drain pan
Tool_2,6471,funnel
Tool_3,6471,oil filter wrench
Tool_3,Task_27942,oil filter wrench
Tool_0,Task_27945,17 mm box end wrench
Tool_1,Task_27945,drain pan
Tool_1,Task_27946,drain pan
Tool_3,Task_27946,oil filter wrench
Tool_1,Task_27947,drain pan
Tool_0,Task_27948,17 mm box end wrench
Tool_1,Task_27948,drain pan
Tool_1,Task_27949,drain pan
Tool_3,Task_27949,oil filter wrench
Tool_3,Task_27950,oil filter wrench
Tool_3,Task_27951,oil filter wrench
Tool_2,Task_27952,funnel
Tool_3,Task_27952,oil filter wrench
Tool_3,Task_27953,oil filter wrench
Tool_3,Task_27956,oil filter wrench
Tool_0,10820,7 mm socket
Tool_1,10820,flathead screwdriver
Tool_0,Task_38907,7 mm socket
Tool_1,Task_38908,flathead screwdriver
Tool_0,62800,socket wrench
Tool_1,62800,8 mm socket
Tool_2,62800,soldering station
Tool_3,62800,pry bar
Tool_4,62800,wire cutter
Tool_5,62800,phillips 2 screwdriver
Tool_6,62800,25 mm socket
ToolTask_132385,Task_132385,socket
Tool_4,Task_132186,wire cutter
Tool_0,Task_132186,phillips 2 screwdriver
Tool_0,Task_132550,phillips 2 screwdriver
Tool_4,Task_132560,wire cutter
Tool_0,Task_132560,phillips 2 screwdriver
Tool_3,Task_132562,pry bar
Tool_3,Task_132563,pry bar
Tool_0,Task_132516,phillips 2 screwdriver
Tool_6,Task_132631,25 mm socket
