sourceIri,relation,targetIri
proc:Task_14461_action_remove,ompd:hasPatient,proc:Task_14461_object_screw
proc:Task_14462_action_remove,ompd:hasPatient,proc:Task_14462_object_rubber_gasket
proc:Task_14463_action_lift,ompd:hasPatient,proc:Task_14463_object_tray
proc:Task_14475_action_remove,ompd:hasPatient,proc:Task_14475_object_cap
proc:Task_14476_action_release,ompd:hasPatient,proc:Task_14476_object_locking_nut
proc:Task_14477_action_lift,ompd:hasPatient,proc:Task_14477_object_windshield_wiper
proc:Task_14479_action_lift,ompd:hasPatient,proc:Task_14479_object_plastic_cover
proc:Task_14481_action_remove,ompd:hasPatient,proc:Task_14481_object_screw
proc:Task_14481_action_make,ompd:hasPatient,proc:Task_14481_object_tool
proc:Task_14483_action_unplug,ompd:hasPatient,proc:Task_14483_object_automatic_transmission_control_unit
proc:Task_14483_action_lift_out,ompd:hasPatient,proc:Task_14483_object_automatic_transmission_control_unit
proc:Task_16999_action_remove,ompd:hasPatient,proc:Task_16999_object_plastic_phillips_screw
proc:Task_16999_action_do_not_apply,ompd:hasPatient,proc:Task_16999_object_force
proc:Task_16999_action_do_not_apply,ompd:hasPatient,proc:Task_16999_object_screw_head
proc:Task_16999_action_continue,ompd:hasPatient,proc:Task_16999_object_screw_head
proc:Task_16999_action_slip,ompd:hasPatient,proc:Task_16999_object_screw_head
proc:Task_16999_action_remove,ompd:hasPatient,proc:Task_16999_object_plastic_clip
proc:Task_17000_action_unscrew,ompd:hasPatient,proc:Task_17000_object_phillips_screw
proc:Task_17000_action_lift,ompd:hasPatient,proc:Task_17000_object_cup
proc:Task_17001_action_insert,ompd:hasPatient,proc:Task_17001_object_plastic_screw_cover
proc:Task_17001_action_unscrew,ompd:hasPatient,proc:Task_17001_object_phillips_screw
proc:Task_17002_action_remove,ompd:hasPatient,proc:Task_17002_object_plastic_cover
proc:Task_17002_action_pulling_it_directly_away_from_the_window,ompd:hasPatient,proc:Task_17002_object_plastic_cover
proc:Task_17002_action_lift,ompd:hasPatient,proc:Task_17002_object_door_panel
proc:Task_17002_action_remove,ompd:hasPatient,proc:Task_17002_object_tab
proc:Task_17003_action_pull,ompd:hasPatient,proc:Task_17003_object_door_panel
proc:Task_17003_action_work_down_the_side,ompd:hasPatient,proc:Task_17003_object_door_panel
proc:Task_17003_action_hold,ompd:hasPatient,proc:Task_17003_object_door_panel
proc:Task_17003_action_jerk,ompd:hasPatient,proc:Task_17003_object_each_clip
proc:Task_17004_action_pull,ompd:hasPatient,proc:Task_17004_object_door_panel
proc:Task_17004_action_lift,ompd:hasPatient,proc:Task_17004_object_panel
proc:Task_17005_action_push_down,ompd:hasPatient,proc:Task_17005_object_small_tab
proc:Task_17005_action_pull,ompd:hasPatient,proc:Task_17005_object_connector
proc:Task_17005_action_disconnect,ompd:hasPatient,proc:Task_17005_object_power_lock_switch
proc:Task_17005_action_remove,ompd:hasPatient,proc:Task_17005_object_connector
proc:Task_17005_action_press,ompd:hasPatient,proc:Task_17005_object_tab
proc:Task_17005_action_disconnect,ompd:hasPatient,proc:Task_17005_object_side-view_mirror_control
proc:Task_17006_action_disconnect,ompd:hasPatient,proc:Task_17006_object_power_window_connector
proc:Task_17006_action_remove,ompd:hasPatient,proc:Task_17006_object_door_panel
proc:Task_23031_action_clear,ompd:hasPatient,proc:Task_23031_object_debris
proc:Task_23032_action_remove,ompd:hasPatient,proc:Task_23032_object_ignition_coil
proc:Task_23032_action_remove,ompd:hasPatient,proc:Task_23032_object_electrical_connector
proc:Task_23032_action_depressing,ompd:hasPatient,proc:Task_23032_object_plastic_tab
proc:Task_23032_action_pull,ompd:hasPatient,proc:Task_23032_object_connector
proc:Task_23032_action_detach,ompd:hasPatient,proc:Task_23032_object_connector
proc:Task_23032_action_repeat_this_procedure,ompd:hasPatient,proc:Task_23032_object_ignition_coil
