sourceIri,relation,targetIri
proc:Task_14462_action_remove,proc:hasParticipant,proc:Task_14462_Item_rain_tray
proc:Task_14475_action_remove,proc:hasParticipant,proc:Task_14475_Item_windshield_wiper
proc:Task_16999_action_remove,proc:hasParticipant,proc:Task_16999_Item_screw
proc:Task_17000_action_lift,proc:hasParticipant,proc:Task_17000_Item_door_panel
proc:Task_17001_action_insert,proc:hasParticipant,proc:Task_17001_Item_door_handle
proc:Task_17001_action_unscrew,proc:hasParticipant,proc:Task_17001_Item_screw_cover
proc:Task_17002_action_remove,proc:hasParticipant,proc:Task_17002_Item_tab
proc:Task_17003_action_hold,proc:hasParticipant,proc:Task_17003_Item_multiple_clip
proc:Task_17003_action_hold,proc:hasParticipant,proc:Task_17003_Item_clip
proc:Task_17004_action_remove,proc:hasParticipant,proc:Task_17004_Item_electrical_connector
proc:Task_17005_action_remove,proc:hasParticipant,proc:Task_17005_Item_tweeter
proc:Task_17005_action_disconnect,proc:hasParticipant,proc:Task_17005_Item_larger_green_connector
proc:Task_23032_action_repeat,proc:hasParticipant,proc:Task_23032_Item_remaining_three_ignition_coil
proc:Task_23034_action_avoid_rocking,proc:hasParticipant,proc:Task_23034_Item_boot
proc:Task_23035_action_remove,proc:hasParticipant,proc:Task_23035_Item_cylinder_head
proc:Task_23037_action_place,proc:hasParticipant,proc:Task_23037_Item_spark_plug_socket
proc:Task_23037_action_apply,proc:hasParticipant,proc:Task_23037_Item_thread
proc:Task_23037_action_apply,proc:hasParticipant,proc:Task_23037_Item_spark_plug
proc:Task_23038_action_tighten,proc:hasParticipant,proc:Task_23038_Item_cylinder_head
proc:Task_23039_action_place_the_ignition_coil,proc:hasParticipant,proc:Task_23039_Item_dust_boot
proc:Task_27943_action_place,proc:hasParticipant,proc:Task_27943_Item_hook
proc:Task_27944_action_pull,proc:hasParticipant,proc:Task_27944_Item_tab
proc:Task_27945_action_drain_plug,proc:hasParticipant,proc:Task_27945_Item_tractor
proc:Task_27946_action_loosen_the_drain_plug,proc:hasParticipant,proc:Task_27946_Item_oil_pan
proc:Task_27947_action_replace,proc:hasParticipant,proc:Task_27947_Item_drain_plug
proc:Task_27949_action_move,proc:hasParticipant,proc:Task_27949_Item_oil_filter
proc:Task_27949_action_remove,proc:hasParticipant,proc:Task_27949_Item_turning
proc:Task_27949_action_place_the_oil_filter,proc:hasParticipant,proc:Task_27949_Item_oil_drain_pan
proc:Task_27950_action_wipe_off,proc:hasParticipant,proc:Task_27950_Item_engine
proc:Task_27951_action_remove,proc:hasParticipant,proc:Task_27951_Item_valve_cover
proc:Task_27954_action_place,proc:hasParticipant,proc:Task_27954_Item_retaining_tab
proc:Task_27955_action_hold_up,proc:hasParticipant,proc:Task_27955_Item_hand
proc:Task_27955_action_close,proc:hasParticipant,proc:Task_27955_Item_hood_latch
proc:Task_38907_action_locate,proc:hasParticipant,proc:Task_38907_Item_air_conditioning_control
proc:Task_38907_action_locate,proc:hasParticipant,proc:Task_38907_Item_face_plate
proc:Task_38907_action_loosen,proc:hasParticipant,proc:Task_38907_Item_7_mm_bolt
proc:Task_38908_action_wedge,proc:hasParticipant,proc:Task_38908_Item_face_plate
proc:Task_132386_action_pull_cover,proc:hasParticipant,proc:Task_132386_Item_alternator
proc:Task_132560_action_locate,proc:hasParticipant,proc:Task_132560_Item_stator
proc:Task_132560_action_locate,proc:hasParticipant,proc:Task_132560_Item_bridge_assembly
proc:Task_132560_action_remove,proc:hasParticipant,proc:Task_132560_Item_alternator
proc:Task_132562_action_raise,proc:hasParticipant,proc:Task_132562_Item_alternator
proc:Task_132562_action_make,proc:hasParticipant,proc:Task_132562_Item_cut_end
proc:Task_132562_action_make,proc:hasParticipant,proc:Task_132562_Item_copper_lead
proc:Task_132563_action_remove,proc:hasParticipant,proc:Task_132563_Item_bridge_assembly
proc:Task_132631_action_remove,proc:hasParticipant,proc:Task_132631_Item_pulley
proc:Task_132632_action_remove,proc:hasParticipant,proc:Task_132632_Item_pulley
proc:Task_132634_action_pull,proc:hasParticipant,proc:Task_132634_Item_remaining_cover
