iri,type,taskDescriptionName,mediaIri,mediaType,textValue,mediaLocation,denotes,descriptionType
proc:Task_14461_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14461,proc:Task_14461_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/s1hcVSyQJyFslNUO.standard,proc:Task_14461,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_14461_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14461,proc:Task_14461_text_0_description_media,ompd:Text,use a 2 phillips screwdriver to remove the four screws .,,proc:Task_14461,ompd:InstructionalMaintenanceTaskDescription
proc:Task_14462_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14462,proc:Task_14462_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/nJwqXyV2RmYOojPS.standard,proc:Task_14462,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_14462_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14462,proc:Task_14462_text_0_description_media,ompd:Text,remove the rubber gasket from the rain tray .,,proc:Task_14462,ompd:InstructionalMaintenanceTaskDescription
proc:Task_14463_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14463,proc:Task_14463_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/MufoG63h1mGKaTbS.standard,proc:Task_14463,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_14463_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14463,proc:Task_14463_text_0_description_media,ompd:Text,lift the tray upwards and away from the vehicle .,,proc:Task_14463,ompd:InstructionalMaintenanceTaskDescription
proc:Task_14475_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14475,proc:Task_14475_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/IxSU1wATCFJNVVmM.standard,proc:Task_14475,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_14475_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14475,proc:Task_14475_text_0_description_media,ompd:Text,use a flathead screwdriver to remove the cap from the windshield wiper .,,proc:Task_14475,ompd:InstructionalMaintenanceTaskDescription
proc:Task_14476_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14476,proc:Task_14476_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/nxm4PdFYM5mZOxn1.standard,proc:Task_14476,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_14476_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14476,proc:Task_14476_text_0_description_media,ompd:Text,use a socket wrench to release the passenger-side windshield wiper locking nut .,,proc:Task_14476,ompd:InstructionalMaintenanceTaskDescription
proc:Task_14477_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14477,proc:Task_14477_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/12yGbSN4VAQWPrQt.standard,proc:Task_14477,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_14477_image_1_description,ompd:MaintenanceTaskDescription,task_description_Task_14477,proc:Task_14477_image_1_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/xyb4sWcS4vh2swNX.standard,proc:Task_14477,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_14477_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14477,proc:Task_14477_text_0_description_media,ompd:Text,gently lift up the passenger-side windshield wiper .,,proc:Task_14477,ompd:InstructionalMaintenanceTaskDescription
proc:Task_14478_image_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14478,proc:Task_14478_image_0_description_media,ompd:Image,,https://d3nevzfk7ii3be.cloudfront.net/igi/ED3Ox2cZhUJ6DrNg.standard,proc:Task_14478,ompd:AuxilliaryMaintenanceTaskDescription
proc:Task_14478_text_0_description,ompd:MaintenanceTaskDescription,task_description_Task_14478,proc:Task_14478_text_0_description_media,ompd:Text,remove the driver-side windshield wiper in the same fashion .,,proc:Task_14478,ompd:InstructionalMaintenanceTaskDescription
