iri,type,procedureIri,taskName,afterMaintenanceTaskIri,parentProcessIri
proc:0945e5f6-db03-4563-a46c-9fdb681d3e63,proc:MaintenaceTaskIn_2965,proc:2965,task_0945e5f6-db03-4563-a46c-9fdb681d3e63,,proc:2965
proc:b688f0ff-e285-44b5-ac63-f4612b30b9b5,proc:MaintenaceTaskIn_2965,proc:2965,task_b688f0ff-e285-44b5-ac63-f4612b30b9b5,proc:1f879378-f579-4d3f-91f3-ff55742d197f,proc:2965
proc:cfb1d2a0-f3c6-43a0-a5cb-784effa82584,proc:MaintenaceTaskIn_2965,proc:2965,task_cfb1d2a0-f3c6-43a0-a5cb-784effa82584,proc:d58074fb-894d-4e07-a19c-acd972e10a93,proc:2965
proc:34832514-d48e-4be1-b5b3-9b3321625476,proc:MaintenaceTaskIn_2965,proc:2965,task_34832514-d48e-4be1-b5b3-9b3321625476,proc:d3f97485-c420-4bac-9cb5-def9403864d8,proc:2965
proc:02294f98-95dd-448a-a9c7-1883fd9432e3,proc:MaintenaceTaskIn_2965,proc:2965,task_02294f98-95dd-448a-a9c7-1883fd9432e3,proc:40e15f95-7e19-4d48-b97a-9aa87efb98c4,proc:2965
proc:176cfbc7-f0fd-40d9-9144-87f91543456d,proc:MaintenaceTaskIn_2965,proc:2965,task_176cfbc7-f0fd-40d9-9144-87f91543456d,proc:417befa5-6ed2-40dc-995c-0eeccfa09cb4,proc:2965
proc:1664eda0-0c82-4596-becc-1c135deaeb58,proc:MaintenaceTaskIn_2965,proc:2965,task_1664eda0-0c82-4596-becc-1c135deaeb58,proc:aa51034e-8590-43e2-b4ff-59bb1e992f00,proc:2965
proc:fb578e03-e8e7-473d-98c7-d904319aaa6f,proc:MaintenaceTaskIn_2965,proc:2965,task_fb578e03-e8e7-473d-98c7-d904319aaa6f,proc:33d63d3e-8eb0-4515-ac8b-3e1ec9f06bbd,proc:2965
proc:8a5ef2e8-da19-4a70-9a9a-7320852c521a,proc:MaintenaceTaskIn_2965,proc:2965,task_8a5ef2e8-da19-4a70-9a9a-7320852c521a,proc:c4a9692c-ad9f-42b7-bbfa-cfe31e7208e1,proc:2965
proc:35f2b7bd-c48b-4584-b3aa-488a7b4f570b,proc:MaintenaceTaskIn_2965,proc:2965,task_35f2b7bd-c48b-4584-b3aa-488a7b4f570b,proc:b166539f-893e-4928-9b32-771527bee859,proc:2965
proc:b9be5e02-401a-4384-a8a1-680ab9e9230d,proc:MaintenaceTaskIn_2965,proc:2965,task_b9be5e02-401a-4384-a8a1-680ab9e9230d,proc:0bc89634-9e6b-4c89-bb16-bc507445516f,proc:2965
proc:0079b314-81b2-4df1-a43a-d0322b32e168,proc:MaintenaceTaskIn_3544,proc:3544,task_0079b314-81b2-4df1-a43a-d0322b32e168,,proc:3544
proc:43aa4fee-533b-42ed-85ea-f48771cde036,proc:MaintenaceTaskIn_3544,proc:3544,task_43aa4fee-533b-42ed-85ea-f48771cde036,proc:c79b036e-e37f-4868-8a6b-5a46720d2320,proc:3544
proc:89168950-5c28-4b83-9c3c-0e9cca52b889,proc:MaintenaceTaskIn_3544,proc:3544,task_89168950-5c28-4b83-9c3c-0e9cca52b889,proc:1417f29c-d979-4ed9-bd50-069cbba26768,proc:3544
proc:a1aba84a-4d39-4366-9639-c9044c0389b1,proc:MaintenaceTaskIn_3544,proc:3544,task_a1aba84a-4d39-4366-9639-c9044c0389b1,proc:83575832-a76c-4230-add5-7c81559ec759,proc:3544
