iri,type,processIri,resourceRoleIri,toolLabel
proc:Tool_0_Proc_2965,ompd:Tool,proc:Proc_2965,proc:resource_role_Tool_0_Proc_2965,phillips 2 screwdriver
proc:Tool_1_Proc_2965,ompd:Tool,proc:Proc_2965,proc:resource_role_Tool_1_Proc_2965,flathead screwdriver
proc:Tool_2_Proc_2965,ompd:Tool,proc:Proc_2965,proc:resource_role_Tool_2_Proc_2965,socket wrench
proc:Tool_3_Proc_2965,ompd:Tool,proc:Proc_2965,proc:resource_role_Tool_3_Proc_2965,offset screwdriver
proc:Tool_0_Task_14461,ompd:Tool,proc:Task_14461,proc:resource_role_Tool_0_Task_14461,phillips 2 screwdriver
proc:Tool_1_Task_14475,ompd:Tool,proc:Task_14475,proc:resource_role_Tool_1_Task_14475,flathead screwdriver
proc:Tool_2_Task_14476,ompd:Tool,proc:Task_14476,proc:resource_role_Tool_2_Task_14476,socket wrench
proc:ToolTask_14481_Task_14481,ompd:Tool,proc:Task_14481,proc:resource_role_ToolTask_14481_Task_14481,screwdriver
proc:Tool_2_Task_14481,ompd:Tool,proc:Task_14481,proc:resource_role_Tool_2_Task_14481,socket wrench
proc:Tool_0_Task_14482,ompd:Tool,proc:Task_14482,proc:resource_role_Tool_0_Task_14482,phillips 2 screwdriver
proc:Tool_0_Proc_3544,ompd:Tool,proc:Proc_3544,proc:resource_role_Tool_0_Proc_3544,flathead screwdriver
proc:Tool_1_Proc_3544,ompd:Tool,proc:Proc_3544,proc:resource_role_Tool_1_Proc_3544,phillips 2 screwdriver
proc:Tool_2_Proc_3544,ompd:Tool,proc:Proc_3544,proc:resource_role_Tool_2_Proc_3544,2.5mm flathead screwdriver
proc:Tool_1_Task_16999,ompd:Tool,proc:Task_16999,proc:resource_role_Tool_1_Task_16999,flathead screwdriver
proc:Tool_0_Task_16999,ompd:Tool,proc:Task_16999,proc:resource_role_Tool_0_Task_16999,phillips 2 screwdriver
proc:Tool_0_Task_17000,ompd:Tool,proc:Task_17000,proc:resource_role_Tool_0_Task_17000,phillips 2 screwdriver
proc:Tool_1_Task_17001,ompd:Tool,proc:Task_17001,proc:resource_role_Tool_1_Task_17001,flathead screwdriver
proc:Tool_0_Task_17001,ompd:Tool,proc:Task_17001,proc:resource_role_Tool_0_Task_17001,phillips 2 screwdriver
proc:Tool_0_Proc_5124,ompd:Tool,proc:Proc_5124,proc:resource_role_Tool_0_Proc_5124,1 2 ratchet extension
proc:Tool_1_Proc_5124,ompd:Tool,proc:Proc_5124,proc:resource_role_Tool_1_Proc_5124,1 2 socket wrench
proc:Tool_2_Proc_5124,ompd:Tool,proc:Proc_5124,proc:resource_role_Tool_2_Proc_5124,5 8 spark plug socket
proc:Tool_3_Proc_5124,ompd:Tool,proc:Proc_5124,proc:resource_role_Tool_3_Proc_5124,8 mm deep socket
proc:Tool_4_Proc_5124,ompd:Tool,proc:Proc_5124,proc:resource_role_Tool_4_Proc_5124,anti-seize lubricant
proc:Tool_5_Proc_5124,ompd:Tool,proc:Proc_5124,proc:resource_role_Tool_5_Proc_5124,compressed air
proc:Tool_6_Proc_5124,ompd:Tool,proc:Proc_5124,proc:resource_role_Tool_6_Proc_5124,dielectric grease
proc:Tool_7_Proc_5124,ompd:Tool,proc:Proc_5124,proc:resource_role_Tool_7_Proc_5124,torque wrench
proc:Tool_5_Task_23031,ompd:Tool,proc:Task_23031,proc:resource_role_Tool_5_Task_23031,compressed air
proc:Tool_3_Task_23033,ompd:Tool,proc:Task_23033,proc:resource_role_Tool_3_Task_23033,8 mm deep socket
proc:Tool_2_Task_23034,ompd:Tool,proc:Task_23034,proc:resource_role_Tool_2_Task_23034,5 8 spark plug socket
proc:Tool_2_Task_23035,ompd:Tool,proc:Task_23035,proc:resource_role_Tool_2_Task_23035,5 8 spark plug socket
proc:Tool_6_Task_23036,ompd:Tool,proc:Task_23036,proc:resource_role_Tool_6_Task_23036,dielectric grease
proc:Tool_2_Task_23037,ompd:Tool,proc:Task_23037,proc:resource_role_Tool_2_Task_23037,5 8 spark plug socket
proc:Tool_2_Task_23038,ompd:Tool,proc:Task_23038,proc:resource_role_Tool_2_Task_23038,5 8 spark plug socket
proc:Tool_7_Task_23038,ompd:Tool,proc:Task_23038,proc:resource_role_Tool_7_Task_23038,torque wrench
proc:Tool_2_Task_23039,ompd:Tool,proc:Task_23039,proc:resource_role_Tool_2_Task_23039,5 8 spark plug socket
proc:Tool_0_Proc_6471,ompd:Tool,proc:Proc_6471,proc:resource_role_Tool_0_Proc_6471,17 mm box end wrench
proc:Tool_1_Proc_6471,ompd:Tool,proc:Proc_6471,proc:resource_role_Tool_1_Proc_6471,drain pan
proc:Tool_2_Proc_6471,ompd:Tool,proc:Proc_6471,proc:resource_role_Tool_2_Proc_6471,funnel
proc:Tool_3_Proc_6471,ompd:Tool,proc:Proc_6471,proc:resource_role_Tool_3_Proc_6471,oil filter wrench
proc:Tool_3_Task_27942,ompd:Tool,proc:Task_27942,proc:resource_role_Tool_3_Task_27942,oil filter wrench
proc:Tool_0_Task_27945,ompd:Tool,proc:Task_27945,proc:resource_role_Tool_0_Task_27945,17 mm box end wrench
proc:Tool_1_Task_27945,ompd:Tool,proc:Task_27945,proc:resource_role_Tool_1_Task_27945,drain pan
proc:Tool_1_Task_27946,ompd:Tool,proc:Task_27946,proc:resource_role_Tool_1_Task_27946,drain pan
proc:Tool_3_Task_27946,ompd:Tool,proc:Task_27946,proc:resource_role_Tool_3_Task_27946,oil filter wrench
proc:Tool_1_Task_27947,ompd:Tool,proc:Task_27947,proc:resource_role_Tool_1_Task_27947,drain pan
proc:Tool_0_Task_27948,ompd:Tool,proc:Task_27948,proc:resource_role_Tool_0_Task_27948,17 mm box end wrench
proc:Tool_1_Task_27948,ompd:Tool,proc:Task_27948,proc:resource_role_Tool_1_Task_27948,drain pan
proc:Tool_1_Task_27949,ompd:Tool,proc:Task_27949,proc:resource_role_Tool_1_Task_27949,drain pan
proc:Tool_3_Task_27949,ompd:Tool,proc:Task_27949,proc:resource_role_Tool_3_Task_27949,oil filter wrench
proc:Tool_3_Task_27950,ompd:Tool,proc:Task_27950,proc:resource_role_Tool_3_Task_27950,oil filter wrench
proc:Tool_3_Task_27951,ompd:Tool,proc:Task_27951,proc:resource_role_Tool_3_Task_27951,oil filter wrench
proc:Tool_2_Task_27952,ompd:Tool,proc:Task_27952,proc:resource_role_Tool_2_Task_27952,funnel
proc:Tool_3_Task_27952,ompd:Tool,proc:Task_27952,proc:resource_role_Tool_3_Task_27952,oil filter wrench
proc:Tool_3_Task_27953,ompd:Tool,proc:Task_27953,proc:resource_role_Tool_3_Task_27953,oil filter wrench
proc:Tool_3_Task_27956,ompd:Tool,proc:Task_27956,proc:resource_role_Tool_3_Task_27956,oil filter wrench
proc:Tool_0_Proc_10820,ompd:Tool,proc:Proc_10820,proc:resource_role_Tool_0_Proc_10820,7 mm socket
proc:Tool_1_Proc_10820,ompd:Tool,proc:Proc_10820,proc:resource_role_Tool_1_Proc_10820,flathead screwdriver
proc:Tool_0_Task_38907,ompd:Tool,proc:Task_38907,proc:resource_role_Tool_0_Task_38907,7 mm socket
proc:Tool_1_Task_38908,ompd:Tool,proc:Task_38908,proc:resource_role_Tool_1_Task_38908,flathead screwdriver
proc:Tool_0_Proc_62800,ompd:Tool,proc:Proc_62800,proc:resource_role_Tool_0_Proc_62800,socket wrench
proc:Tool_1_Proc_62800,ompd:Tool,proc:Proc_62800,proc:resource_role_Tool_1_Proc_62800,8 mm socket
proc:Tool_2_Proc_62800,ompd:Tool,proc:Proc_62800,proc:resource_role_Tool_2_Proc_62800,soldering station
proc:Tool_3_Proc_62800,ompd:Tool,proc:Proc_62800,proc:resource_role_Tool_3_Proc_62800,pry bar
proc:Tool_4_Proc_62800,ompd:Tool,proc:Proc_62800,proc:resource_role_Tool_4_Proc_62800,wire cutter
proc:Tool_5_Proc_62800,ompd:Tool,proc:Proc_62800,proc:resource_role_Tool_5_Proc_62800,phillips 2 screwdriver
proc:Tool_6_Proc_62800,ompd:Tool,proc:Proc_62800,proc:resource_role_Tool_6_Proc_62800,25 mm socket
proc:ToolTask_132385_Task_132385,ompd:Tool,proc:Task_132385,proc:resource_role_ToolTask_132385_Task_132385,socket
proc:Tool_4_Task_132186,ompd:Tool,proc:Task_132186,proc:resource_role_Tool_4_Task_132186,wire cutter
proc:Tool_0_Task_132186,ompd:Tool,proc:Task_132186,proc:resource_role_Tool_0_Task_132186,phillips 2 screwdriver
proc:Tool_0_Task_132550,ompd:Tool,proc:Task_132550,proc:resource_role_Tool_0_Task_132550,phillips 2 screwdriver
